Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_LV,Diff_CS,Diff_jglCS,Diff_Kill,Diff_Asisst,Diff_WARDplaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,result,FirstDragon_AIR_DRAGON,FirstDragon_EARTH_DRAGON,FirstDragon_FIRE_DRAGON,FirstDragon_WATER_DRAGON,FirstDragon_HEXTECH_DRAGON,FirstDragon_CHEMTECH_DRAGON
1,-1,1,0,0,55,-12,4,9,19,-12,0,0,1,0,0,0,0,0,0
-1,1,0,0,3,22,7,7,30,7,-3,0,0,1,1,0,0,0,0,0
1,0,0,0,0,12,0,4,1,0,-3,0,0,1,0,0,0,0,0,0
-1,-1,0,0,1,28,-7,2,-18,171,1,0,0,1,0,0,0,0,0,0
-1,0,0,0,1,52,13,8,38,-13,4,0,0,1,0,0,0,0,0,0
-1,1,1,0,3,8,24,-5,-38,5,1,0,0,1,1,0,0,0,0,0
-1,-1,1,0,1,13,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,23,-4,6,44,-1,3,0,0,1,0,0,0,0,0,0
1,0,0,0,0,9,0,-1,11,17,0,0,0,1,0,0,0,0,0,0
1,0,-1,0,-1,-47,4,-2,20,-6,-1,0,0,1,0,0,0,0,0,0
-1,1,0,0,-1,7,-4,-1,34,0,-1,0,0,1,0,0,0,0,0,1
1,0,0,0,1,-21,-4,5,38,10,-1,0,0,1,0,0,0,0,0,0
-1,-1,0,0,-1,7,-12,1,1,1,1,0,0,1,0,0,0,0,0,0
1,0,-1,0,1,-17,8,-1,6,-1,1,0,0,1,0,0,0,0,0,0
-1,1,1,0,2,37,0,3,-13,6,0,0,0,1,0,0,0,1,0,0
1,-1,0,0,-1,0,-8,-1,7,-3,0,0,0,1,0,0,0,0,0,0
-1,1,0,0,1,-23,-8,2,2,1,2,0,0,1,1,0,0,0,0,0
1,0,0,0,2,21,6,6,16,1,1,0,0,1,0,0,0,0,0,0
-1,0,1,0,0,-11,4,-1,5,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,3,26,4,10,92,5,2,0,0,1,0,0,0,0,0,0
1,0,0,0,6,61,-3,3,17,-5,2,0,0,1,0,0,0,0,0,0
1,1,0,0,0,-4,8,0,-6,-4,0,0,0,1,0,0,0,0,0,1
