Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_LV,Diff_CS,Diff_jglCS,Diff_Kill,Diff_Asisst,Diff_WARDplaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,result,FirstDragon_AIR_DRAGON,FirstDragon_EARTH_DRAGON,FirstDragon_FIRE_DRAGON,FirstDragon_WATER_DRAGON,FirstDragon_HEXTECH_DRAGON,FirstDragon_CHEMTECH_DRAGON
-1,-1,0,0,-1,48,-20,10,29,-10,2,0,0,1,0,0,0,0,0,0
-1,-1,1,0,2,-12,9,5,4,-1,-2,0,0,1,0,0,0,0,0,0
-1,1,0,0,1,7,25,2,5,1,2,0,0,1,1,0,0,0,0,0
-1,0,0,0,1,-16,-4,0,2,22,1,0,0,1,0,0,0,0,0,0
1,0,0,0,5,33,8,12,35,13,1,0,0,1,0,0,0,0,0,0
-1,0,0,0,1,4,8,-3,-35,-6,1,0,0,1,0,0,0,0,0,0
-1,0,0,0,0,10,16,0,28,2,-1,0,0,1,0,0,0,0,0,0
-1,-1,1,1,1,52,-12,0,-20,0,6,0,1,1,0,0,0,0,0,0
1,1,-1,0,0,-7,-21,4,25,-1,2,0,0,1,0,1,0,0,0,0
1,1,1,0,2,-6,0,1,-6,1,-1,0,0,1,1,0,0,0,0,0
-1,1,-1,0,1,-11,7,-1,10,7,0,0,0,1,0,0,0,1,0,0
-1,0,0,0,-1,-24,6,-2,1,5,-1,0,0,1,0,0,0,0,0,0
-1,1,1,0,1,22,-4,4,18,2,2,0,0,1,0,1,0,0,0,0
1,0,0,0,5,30,4,8,42,0,5,0,0,1,0,0,0,0,0,0
-1,-1,1,1,4,111,-5,7,31,-10,0,0,0,1,0,0,0,0,0,0
1,0,-1,0,-1,7,1,-4,-33,-5,1,0,0,1,0,0,0,0,0,0
1,1,1,0,3,-22,8,7,45,-99,0,0,0,1,1,0,0,0,0,0
1,1,-1,0,1,-1,-4,3,-2,11,-5,0,0,1,0,0,1,0,0,0
1,1,1,0,3,51,0,6,12,1,0,0,0,1,0,1,0,0,0,0
-1,0,0,0,-1,28,-7,-7,-20,-5,0,0,0,1,0,0,0,0,0,0
1,1,-1,0,2,2,3,6,63,10,4,0,0,1,0,1,0,0,0,0
1,1,-1,0,-1,-33,-7,-2,-12,7,-6,0,0,1,0,0,1,0,0,0
