Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_LV,Diff_CS,Diff_jglCS,Diff_Kill,Diff_Asisst,Diff_WARDplaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,result,FirstDragon_AIR_DRAGON,FirstDragon_EARTH_DRAGON,FirstDragon_FIRE_DRAGON,FirstDragon_WATER_DRAGON,FirstDragon_HEXTECH_DRAGON,FirstDragon_CHEMTECH_DRAGON
1,0,1,0,-1,-9,7,-1,-1,2,0,0,0,1,0,0,0,0,0,0
1,0,1,0,2,43,31,5,13,72,3,0,0,1,0,0,0,0,0,0
1,1,1,0,2,32,12,4,7,7,0,0,0,1,0,1,0,0,0,0
1,0,1,0,1,11,-3,6,21,13,0,0,0,1,0,0,0,0,0,0
1,1,0,0,5,97,26,5,12,24,2,0,0,1,1,0,0,0,0,0
1,0,1,0,-1,14,-16,-3,-30,-2,1,0,0,1,0,0,0,0,0,0
-1,-1,0,0,0,69,8,3,17,-2,0,0,0,1,0,0,0,0,0,0
-1,1,-1,0,-2,-26,-11,3,14,4,2,0,0,1,0,0,0,0,1,0
1,0,1,0,-1,-6,-4,2,33,3,0,0,0,1,0,0,0,0,0,0
1,1,1,1,1,14,40,9,38,-1,1,0,0,1,0,0,1,0,0,0
1,1,1,0,2,-11,4,6,46,1,1,0,0,1,1,0,0,0,0,0
-1,-1,1,0,1,-4,-16,1,-8,-17,6,0,0,1,0,0,0,0,0,0
1,1,-1,0,-1,5,-16,0,25,0,1,0,0,1,0,1,0,0,0,0
-1,1,0,0,1,29,20,4,30,100,-1,0,0,1,0,0,0,0,0,1
1,0,1,0,2,27,11,9,70,9,1,0,0,1,0,0,0,0,0,0
-1,0,1,0,-1,-23,12,0,-4,1,-1,0,0,1,0,0,0,0,0,0
-1,0,1,0,0,-36,12,2,8,-3,0,0,0,1,0,0,0,0,0,0
1,-1,-1,0,1,21,4,0,-1,-6,0,0,0,1,0,0,0,0,0,0
1,1,1,0,1,14,32,4,17,-20,4,0,0,1,0,0,0,1,0,0
1,0,1,0,4,55,13,6,37,7,1,0,0,1,0,0,0,0,0,0
-1,1,1,0,-1,11,-8,-4,-25,4,-3,0,0,1,0,0,0,0,1,0
1,1,0,1,6,-10,36,7,28,1,3,0,1,1,0,0,0,0,0,1
1,-1,0,0,0,8,2,2,13,-70,4,0,0,1,0,0,0,0,0,0
1,1,0,0,4,56,4,6,62,7,-1,0,0,1,0,0,0,0,1,0
-1,1,1,0,2,-21,11,3,12,-9,1,0,0,1,0,0,1,0,0,0
-1,1,0,0,2,22,5,1,1,78,-1,0,0,1,0,0,0,0,1,0
1,0,-1,0,4,0,4,7,29,-8,-1,0,0,1,0,0,0,0,0,0
-1,-1,-1,0,-2,-4,-17,1,0,-4,-3,0,0,1,0,0,0,0,0,0
1,0,-1,0,-3,-18,8,2,16,-20,4,0,0,1,0,0,0,0,0,0
1,0,0,0,2,-25,-3,5,41,5,2,0,0,1,0,0,0,0,0,0
1,0,0,0,2,23,9,7,11,-4,2,0,0,1,0,0,0,0,0,0
1,0,1,0,2,-51,0,4,26,-2,2,0,0,1,0,0,0,0,0,0
1,1,-1,1,1,40,17,2,23,5,0,0,0,1,0,0,1,0,0,0
1,0,0,0,0,-15,-1,5,35,-3,-2,0,0,1,0,0,0,0,0,0
-1,0,-1,0,-1,-21,-4,-2,-12,-27,0,0,0,1,0,0,0,0,0,0
1,1,-1,0,1,6,-10,7,48,-1,1,0,0,1,0,0,1,0,0,0
1,1,-1,0,2,31,1,4,-12,1,5,0,0,1,0,1,0,0,0,0
1,1,-1,0,3,11,-20,4,6,-3,5,0,0,1,0,0,1,0,0,0
-1,0,1,0,2,49,16,-2,-32,-87,-2,0,0,1,0,0,0,0,0,0
1,1,0,0,4,49,-7,9,47,6,2,0,0,1,0,0,1,0,0,0
1,-1,1,0,0,7,-12,2,1,13,-1,0,0,1,0,0,0,0,0,0
1,1,-1,0,2,10,-1,3,12,4,0,0,0,1,0,0,1,0,0,0
-1,0,-1,0,1,-8,20,-2,-10,-8,-2,0,0,1,0,0,0,0,0,0
1,0,0,0,-1,31,0,-2,-13,-8,2,0,0,1,0,0,0,0,0,0
1,1,1,1,4,63,7,7,46,-25,3,0,0,1,0,0,0,0,1,0
1,0,-1,0,1,1,-22,0,-9,3,-7,0,0,1,0,0,0,0,0,0
1,0,0,0,1,27,-20,-2,2,-7,-1,0,0,1,0,0,0,0,0,0
-1,0,1,0,1,-4,8,5,16,-32,26,0,0,1,0,0,0,0,0,0
1,-1,0,0,0,-12,8,0,2,3,0,0,0,1,0,0,0,0,0,0
1,1,0,0,1,4,-5,3,14,5,-1,0,0,1,0,0,0,0,1,0
1,0,0,0,1,0,0,-2,-50,-11,-2,0,0,1,0,0,0,0,0,0
1,1,1,0,2,47,-7,2,16,1,2,0,0,1,0,0,0,1,0,0
-1,0,0,0,1,27,-8,2,-4,-2,2,0,0,1,0,0,0,0,0,0
1,-1,-1,0,-2,-25,-15,2,35,-73,0,0,0,1,0,0,0,0,0,0
1,0,-1,0,0,18,-20,2,6,28,3,0,0,1,0,0,0,0,0,0
1,-1,-1,-1,-1,-16,7,-1,-14,-4,-3,0,-1,1,0,0,0,0,0,0
-1,-1,0,0,-1,-15,-1,0,9,-1,1,0,0,1,0,0,0,0,0,0
1,-1,-1,0,-1,17,-11,-4,-44,2,0,0,0,1,0,0,0,0,0,0
-1,1,1,0,3,28,12,4,8,1,-4,0,0,1,0,0,0,0,1,0
1,1,0,0,3,68,4,6,6,0,0,0,0,1,0,0,0,0,0,1
-1,1,1,0,0,-1,-22,4,38,7,2,0,0,1,0,0,0,1,0,0
1,-1,-1,0,-1,-27,13,1,5,1,5,0,0,1,0,0,0,0,0,0
-1,-1,0,0,1,11,8,3,-8,11,0,0,0,1,0,0,0,0,0,0
1,0,1,0,3,11,2,10,35,20,1,0,0,1,0,0,0,0,0,0
1,-1,-1,0,0,-20,0,2,2,0,2,0,0,1,0,0,0,0,0,0
-1,-1,0,0,1,-17,-17,2,-54,2,-3,0,0,1,0,0,0,0,0,0
-1,1,0,0,0,6,4,0,1,0,-1,0,0,1,0,0,0,1,0,0
1,0,-1,0,0,-7,12,5,26,2,-1,0,0,1,0,0,0,0,0,0
1,-1,-1,0,1,12,4,0,27,2,0,0,0,1,0,0,0,0,0,0
-1,0,1,0,4,44,-11,1,6,2,0,0,0,1,0,0,0,0,0,0
-1,0,0,0,4,30,23,3,-20,-27,4,0,0,1,0,0,0,0,0,0
1,1,1,0,2,2,9,1,14,-10,1,0,0,1,0,1,0,0,0,0
1,-1,1,0,4,61,-2,1,13,-89,3,0,0,1,0,0,0,0,0,0
1,0,1,0,0,7,8,3,15,14,1,0,0,1,0,0,0,0,0,0
-1,-1,0,0,1,32,-8,0,-30,0,0,0,0,1,0,0,0,0,0,0
-1,-1,-1,0,-2,-24,5,-7,-47,-7,-5,0,0,1,0,0,0,0,0,0
1,0,0,0,2,63,6,8,24,-1,5,0,0,1,0,0,0,0,0,0
1,0,1,0,1,1,0,0,8,1,-2,0,0,1,0,0,0,0,0,0
1,1,1,0,1,-26,7,5,29,-2,-2,0,0,1,0,0,1,0,0,0
1,0,0,0,1,-46,19,5,12,-6,-2,0,0,1,0,0,0,0,0,0
1,-1,1,0,1,25,29,1,4,4,-3,0,0,1,0,0,0,0,0,0
1,1,1,0,3,35,8,7,65,4,1,0,0,1,0,0,0,1,0,0
1,0,-1,0,0,8,-6,1,-8,-1,1,0,0,1,0,0,0,0,0,0
1,1,1,0,4,41,28,6,15,3,1,0,0,1,0,0,1,0,0,0
1,0,-1,0,0,30,-16,0,20,-11,5,0,0,1,0,0,0,0,0,0
1,1,-1,0,2,45,31,2,32,6,1,0,0,1,0,0,1,0,0,0
-1,-1,1,0,-1,-6,6,-3,-13,-9,-4,0,0,1,0,0,0,0,0,0
-1,-1,1,0,2,29,0,-5,0,-6,-1,0,0,1,0,0,0,0,0,0
-1,1,-1,0,-2,5,0,1,-6,-4,2,0,0,1,0,0,0,1,0,0
1,1,0,0,4,53,19,6,21,-25,1,0,0,1,1,0,0,0,0,0
1,0,-1,0,0,24,-4,0,-11,-1,2,0,0,1,0,0,0,0,0,0
-1,-1,0,0,0,-25,-10,-3,-13,22,0,0,0,1,0,0,0,0,0,0
1,-1,-1,0,0,6,12,2,24,7,3,0,0,1,0,0,0,0,0,0
1,0,0,0,2,32,-24,13,74,-19,0,0,0,1,0,0,0,0,0,0
-1,0,1,0,2,33,-1,2,10,-9,0,0,0,1,0,0,0,0,0,0
-1,1,-1,0,0,59,-1,-4,-11,8,2,0,0,1,0,0,0,1,0,0
1,1,-1,0,0,9,29,-2,-13,-1,0,0,0,1,0,0,0,0,0,1
-1,1,-1,0,-1,-17,20,1,17,-316,-2,0,0,1,1,0,0,0,0,0
1,0,1,0,2,6,3,7,7,3,2,0,0,1,0,0,0,0,0,0
1,-1,0,0,0,-21,-6,2,-3,-32,-2,0,0,1,0,0,0,0,0,0
1,-1,1,0,-1,-28,5,1,-1,1,-2,0,0,1,0,0,0,0,0,0
-1,-1,1,0,0,7,-20,-6,-57,2,3,0,0,1,0,0,0,0,0,0
-1,1,0,0,1,20,4,8,36,0,-2,0,0,1,0,0,1,0,0,0
