Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_LV,Diff_CS,Diff_jglCS,Diff_Kill,Diff_Asisst,Diff_WARDplaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,result,FirstDragon_AIR_DRAGON,FirstDragon_EARTH_DRAGON,FirstDragon_FIRE_DRAGON,FirstDragon_WATER_DRAGON,FirstDragon_HEXTECH_DRAGON,FirstDragon_CHEMTECH_DRAGON
1,-1,1,0,2,25,-4,3,12,-1,-5,0,0,1,0,0,0,0,0,0
1,0,0,0,2,27,12,1,-2,10,-3,0,0,1,0,0,0,0,0,0
1,1,1,0,0,-33,-2,-2,-6,9,-1,0,0,1,0,1,0,0,0,0
-1,0,0,0,0,49,3,1,-4,-4,-2,0,0,1,0,0,0,0,0,0
1,0,-1,0,1,7,7,0,-13,-8,3,0,0,1,0,0,0,0,0,0
-1,0,0,0,2,10,-8,2,9,4,-5,0,0,1,0,0,0,0,0,0
1,0,-1,0,1,17,4,0,8,-12,2,0,0,1,0,0,0,0,0,0
-1,0,0,0,0,-34,17,-2,-1,-3,0,0,0,1,0,0,0,0,0,0
1,0,0,0,-2,-13,-12,2,23,-128,-4,0,0,1,0,0,0,0,0,0
1,0,1,0,0,-3,12,-4,-23,-2,0,0,0,1,0,0,0,0,0,0
-1,-1,0,0,-1,-17,-8,-4,-19,0,0,0,0,1,0,0,0,0,0,0
1,-1,0,0,2,38,-3,2,-1,-2,0,0,0,1,0,0,0,0,0,0
1,1,-1,0,-1,17,7,5,30,0,-1,0,0,1,0,0,0,0,0,1
-1,0,1,0,1,1,8,-1,4,4,2,0,0,1,0,0,0,0,0,0
1,0,-1,0,-1,18,-24,8,40,-19,0,0,0,1,0,0,0,0,0,0
1,0,-1,0,3,23,6,6,89,10,2,0,0,1,0,0,0,0,0,0
1,1,-1,0,0,53,0,-2,-14,-22,-2,0,0,1,0,0,0,1,0,0
-1,0,0,0,0,8,16,-4,-36,-1,-2,0,0,1,0,0,0,0,0,0
-1,0,-1,0,2,48,-1,5,42,-16,1,0,0,1,0,0,0,0,0,0
1,0,-1,0,-3,-37,-20,-5,-31,-17,7,0,0,1,0,0,0,0,0,0
-1,0,1,0,-1,-47,0,-6,-34,1,-2,0,0,1,0,0,0,0,0,0
-1,-1,1,0,0,3,8,-2,-31,-3,4,0,0,1,0,0,0,0,0,0
1,0,-1,0,1,45,-28,4,-12,7,-1,0,0,1,0,0,0,0,0,0
1,0,0,0,2,77,-6,5,24,-1,-1,0,0,1,0,0,0,0,0,0
1,-1,0,0,0,12,-8,3,20,-2,-1,0,0,1,0,0,0,0,0,0
-1,-1,0,0,3,71,16,-3,-35,9,-1,0,0,1,0,0,0,0,0,0
1,0,1,0,0,-20,6,1,17,21,-4,0,0,1,0,0,0,0,0,0
1,1,0,0,1,-21,0,2,2,-2,0,0,0,1,0,0,0,1,0,0
-1,1,-1,0,-1,51,-16,-6,-6,-16,-2,0,0,1,0,1,0,0,0,0
1,-1,1,0,-1,-25,0,0,15,-4,2,0,0,1,0,0,0,0,0,0
1,1,0,0,3,-12,2,9,20,2,-2,0,0,1,0,1,0,0,0,0
1,-1,0,0,0,-47,12,2,1,14,2,0,0,1,0,0,0,0,0,0
1,1,-1,0,2,39,8,4,13,4,-1,0,0,1,0,1,0,0,0,0
1,0,1,0,0,-12,1,-2,-3,-1,-1,0,0,1,0,0,0,0,0,0
1,0,-1,0,-1,-32,8,0,11,-2,-3,0,0,1,0,0,0,0,0,0
1,0,-1,0,1,-1,-11,5,31,3,-1,0,0,1,0,0,0,0,0,0
1,-1,0,0,0,9,-6,2,19,-4,-1,0,0,1,0,0,0,0,0,0
1,-1,0,0,0,18,-9,-1,-21,-6,0,0,0,1,0,0,0,0,0,0
-1,0,0,0,-2,-11,-24,1,23,-6,0,0,0,1,0,0,0,0,0,0
1,1,1,0,-1,5,-16,0,11,-3,-1,0,0,1,0,1,0,0,0,0
-1,1,-1,0,1,-22,-4,1,4,-2,-1,0,0,1,0,0,0,0,0,1
-1,1,-1,0,2,-3,-16,3,1,-19,3,0,0,1,0,0,0,0,1,0
-1,0,-1,0,1,32,11,1,3,3,-1,0,0,1,0,0,0,0,0,0
1,0,1,0,1,-12,27,6,41,-6,-3,0,0,1,0,0,0,0,0,0
-1,0,1,0,1,13,7,-3,-21,-73,-3,0,0,1,0,0,0,0,0,0
-1,1,-1,0,-3,14,-28,-4,5,-73,3,0,0,1,0,0,1,0,0,0
1,1,-1,1,5,87,10,7,28,-3,0,0,1,1,0,1,0,0,0,0
1,0,1,0,1,12,-2,4,31,9,3,0,0,1,0,0,0,0,0,0
-1,0,1,0,3,2,21,5,12,15,0,0,0,1,0,0,0,0,0,0
-1,0,0,0,2,-1,20,2,31,9,0,0,0,1,0,0,0,0,0,0
1,1,1,0,-1,-15,9,1,30,3,0,0,0,1,0,0,0,0,0,1
1,1,-1,0,1,24,4,7,26,-3,3,0,0,1,0,1,0,0,0,0
-1,1,1,0,-2,5,-8,1,3,6,-7,0,0,1,0,1,0,0,0,0
1,-1,1,1,2,34,6,2,15,-1,2,0,1,1,0,0,0,0,0,0
-1,1,1,0,-2,-7,2,4,25,5,-3,0,0,1,0,0,0,1,0,0
-1,-1,1,0,1,-9,14,1,8,-11,1,0,0,1,0,0,0,0,0,0
-1,-1,0,0,1,-3,2,-1,-19,-10,1,0,0,1,0,0,0,0,0,0
1,0,1,0,1,-3,12,-1,1,-3,0,0,0,1,0,0,0,0,0,0
-1,0,1,0,0,2,-9,-1,-9,-4,0,0,0,1,0,0,0,0,0,0
-1,0,-1,0,-2,-3,-7,-1,8,-63,0,0,0,1,0,0,0,0,0,0
1,1,-1,0,0,18,-16,5,17,-1,2,0,0,1,0,0,0,1,0,0
1,0,1,0,2,8,0,0,-8,6,-1,0,0,1,0,0,0,0,0,0
-1,1,0,0,1,13,12,7,29,2,0,0,0,1,0,0,1,0,0,0
-1,-1,1,0,2,32,7,1,-25,21,-1,0,0,1,0,0,0,0,0,0
-1,-1,0,0,-2,-6,-8,-4,-18,-4,3,0,0,1,0,0,0,0,0,0
-1,0,0,0,-2,15,-8,-2,-11,1,2,0,0,1,0,0,0,0,0,0
1,1,-1,0,5,10,6,10,20,3,5,0,0,1,0,0,0,0,0,1
1,0,1,0,3,32,17,6,3,-5,2,0,0,1,0,0,0,0,0,0
-1,-1,0,0,1,4,32,-5,-37,-6,0,0,0,1,0,0,0,0,0,0
-1,1,1,0,0,-10,-5,5,29,7,-4,0,0,1,0,0,0,1,0,0
-1,1,0,0,0,-33,-15,-3,-22,146,-1,0,0,1,1,0,0,0,0,0
1,0,0,0,0,4,-4,1,12,5,0,0,0,1,0,0,0,0,0,0
-1,-1,1,0,0,27,11,-3,-19,-7,2,0,0,1,0,0,0,0,0,0
1,0,0,0,-1,-16,0,2,7,-11,-2,0,0,1,0,0,0,0,0,0
-1,1,-1,0,1,30,0,-2,-4,0,2,0,0,1,1,0,0,0,0,0
1,0,0,0,1,10,7,7,36,91,3,0,0,1,0,0,0,0,0,0
1,0,1,0,2,3,5,7,68,35,-16,0,0,1,0,0,0,0,0,0
1,-1,1,0,2,73,8,2,-11,5,0,0,0,1,0,0,0,0,0,0
-1,0,1,0,2,48,-21,3,48,2,-1,0,0,1,0,0,0,0,0,0
1,0,1,0,2,4,4,8,49,-4,-5,0,0,1,0,0,0,0,0,0
1,1,-1,0,0,-4,-12,3,-14,-3,2,0,0,1,0,0,0,1,0,0
1,0,1,0,3,37,14,6,2,-1,0,0,0,1,0,0,0,0,0,0
1,0,-1,0,-2,-22,-9,2,46,-27,17,0,0,1,0,0,0,0,0,0
1,-1,1,0,0,27,-1,-1,-15,-19,4,0,0,1,0,0,0,0,0,0
-1,1,0,0,-2,-46,-9,1,0,158,1,0,0,1,0,1,0,0,0,0
-1,0,1,1,5,5,11,11,23,-17,-1,0,1,1,0,0,0,0,0,0
-1,0,1,0,0,-18,24,3,7,5,-1,0,0,1,0,0,0,0,0,0
-1,0,1,1,2,9,4,-2,-18,-11,1,0,0,1,0,0,0,0,0,0
-1,1,0,0,6,30,12,2,-15,-5,1,0,0,1,0,0,0,0,0,1
-1,0,1,0,3,11,0,5,1,-4,5,0,0,1,0,0,0,0,0,0
1,0,0,0,1,-7,-3,5,58,6,-2,0,0,1,0,0,0,0,0,0
1,0,0,0,0,49,-16,1,-2,-5,-1,0,0,1,0,0,0,0,0,0
1,1,0,0,4,-5,0,8,26,5,-1,0,0,1,0,0,0,1,0,0
-1,0,0,0,-1,-36,-9,0,22,-60,-6,0,0,1,0,0,0,0,0,0
1,1,0,0,2,30,4,7,23,9,0,0,0,1,0,0,0,1,0,0
-1,-1,1,0,1,-11,24,-1,-12,-2,-1,0,0,1,0,0,0,0,0,0
1,-1,1,0,3,46,12,4,15,-1,0,0,0,1,0,0,0,0,0,0
-1,0,1,0,3,63,26,0,5,-7,-3,0,0,1,0,0,0,0,0,0
-1,0,1,0,-1,-35,8,-4,-25,-8,-2,0,0,1,0,0,0,0,0,0
-1,0,1,0,2,-5,-4,-2,-6,-3,0,0,0,1,0,0,0,0,0,0
1,0,0,0,1,-17,28,0,3,0,-1,0,0,1,0,0,0,0,0,0
-1,-1,-1,0,-1,0,-8,-1,-10,0,0,0,0,1,0,0,0,0,0,0
-1,0,-1,0,0,-1,-39,2,4,-20,-3,0,0,1,0,0,0,0,0,0
-1,1,1,0,2,41,-4,2,5,-2,6,0,0,1,0,0,0,0,1,0
1,1,0,0,2,48,4,3,7,-2,2,0,0,1,0,0,1,0,0,0
1,0,-1,0,-1,52,-16,7,42,1,-1,0,0,1,0,0,0,0,0,0
-1,0,-1,0,2,14,5,1,13,-4,1,0,0,1,0,0,0,0,0,0
-1,1,-1,0,-2,-9,12,-2,-18,0,-2,0,0,1,1,0,0,0,0,0
1,1,-1,0,2,20,1,-1,-4,-1,-1,0,0,1,0,0,0,0,0,1
1,1,-1,0,1,-20,5,4,40,0,-1,0,0,1,0,1,0,0,0,0
1,1,1,0,0,-9,-6,8,42,0,-3,0,0,1,0,0,0,0,1,0
1,1,1,0,1,6,-18,4,36,5,-1,0,0,1,0,0,1,0,0,0
1,1,1,0,3,31,15,-1,9,14,-2,0,0,1,0,0,0,1,0,0
-1,0,1,0,-2,7,-18,-4,-5,-79,2,0,0,1,0,0,0,0,0,0
1,-1,0,0,-1,24,-10,0,-2,-40,-8,0,0,1,0,0,0,0,0,0
1,1,0,0,-1,-21,9,-2,-2,-6,4,0,0,1,0,0,0,0,1,0
-1,-1,1,1,-1,16,-14,3,-10,161,-1,0,2,1,0,0,0,0,0,0
1,0,-1,0,3,60,12,2,9,21,0,0,0,1,0,0,0,0,0,0
-1,0,1,-1,3,43,20,3,6,-3,0,0,-1,1,0,0,0,0,0,0
1,0,0,0,1,18,21,5,48,21,-2,0,0,1,0,0,0,0,0,0
-1,0,1,0,0,-19,-2,3,17,2,0,0,0,1,0,0,0,0,0,0
1,1,0,0,0,4,0,3,13,6,0,0,0,1,0,0,0,1,0,0
-1,0,-1,0,2,30,-5,9,31,103,-1,0,0,1,0,0,0,0,0,0
1,-1,0,0,0,26,5,-1,-6,121,2,0,0,1,0,0,0,0,0,0
-1,1,-1,0,4,16,16,2,-8,2,1,0,0,1,0,1,0,0,0,0
-1,-1,0,0,-1,-19,-4,-2,-20,-1,-2,0,0,1,0,0,0,0,0,0
-1,-1,1,0,3,48,18,5,2,20,-2,0,0,1,0,0,0,0,0,0
-1,1,1,0,0,-25,20,-8,-60,175,-2,0,0,1,0,0,0,0,1,0
1,0,0,0,-3,44,-4,-6,1,5,-3,0,0,1,0,0,0,0,0,0
1,-1,1,0,2,15,-5,9,41,-4,0,0,0,1,0,0,0,0,0,0
1,-1,1,0,1,2,12,2,16,0,-2,0,0,1,0,0,0,0,0,0
-1,0,-1,0,-6,-4,-18,-9,-18,-14,3,0,0,1,0,0,0,0,0,0
-1,1,-1,0,0,0,-3,0,5,87,3,0,0,1,0,1,0,0,0,0
-1,1,1,0,1,2,3,5,25,47,-2,0,0,1,0,0,0,1,0,0
-1,1,1,0,3,-13,28,8,18,4,0,0,0,1,0,0,0,0,1,0
1,0,1,0,3,60,0,6,-17,-28,16,0,0,1,0,0,0,0,0,0
-1,0,0,0,2,36,4,1,-2,5,-3,0,0,1,0,0,0,0,0,0
-1,0,1,0,1,29,28,-1,1,24,-5,0,0,1,0,0,0,0,0,0
-1,1,0,0,3,30,-1,5,53,4,2,0,0,1,1,0,0,0,0,0
-1,0,-1,0,-1,-28,-4,-2,2,-10,-1,0,0,1,0,0,0,0,0,0
-1,1,0,0,2,-36,9,4,19,1,1,0,0,1,0,0,0,0,1,0
-1,0,0,0,-1,31,-8,4,18,-8,1,0,0,1,0,0,0,0,0,0
1,0,0,0,-1,9,-16,-1,-10,-9,-2,0,0,1,0,0,0,0,0,0
1,0,1,0,1,-10,0,-1,12,-14,1,0,0,1,0,0,0,0,0,0
-1,0,0,0,0,14,1,0,24,-1,1,0,0,1,0,0,0,0,0,0
-1,0,-1,0,2,22,5,1,14,2,1,0,0,1,0,0,0,0,0,0
1,1,1,0,-1,-12,20,0,34,4,-4,0,0,1,0,1,0,0,0,0
1,0,0,0,0,-4,-16,3,21,-12,4,0,0,1,0,0,0,0,0,0
-1,1,0,0,1,18,-16,4,22,-8,1,0,0,1,1,0,0,0,0,0
-1,0,0,0,-1,21,-3,0,2,102,1,0,0,1,0,0,0,0,0,0
1,1,-1,0,1,14,-3,8,23,1,2,0,0,1,1,0,0,0,0,0
-1,0,0,0,0,22,4,-2,-2,1,-1,0,0,1,0,0,0,0,0,0
1,0,0,0,4,71,-5,11,34,-10,-1,0,0,1,0,0,0,0,0,0
1,-1,0,0,2,19,-12,7,24,2,2,0,0,1,0,0,0,0,0,0
-1,0,1,0,-1,17,9,-3,-30,-4,1,0,0,1,0,0,0,0,0,0
1,0,0,0,0,5,14,2,3,3,-4,0,0,1,0,0,0,0,0,0
1,0,0,0,1,-26,-4,4,34,0,-3,0,0,1,0,0,0,0,0,0
1,0,0,0,2,44,-5,5,9,4,1,0,0,1,0,0,0,0,0,0
-1,0,1,0,5,47,24,6,24,-7,3,0,0,1,0,0,0,0,0,0
1,1,0,0,1,20,-8,3,1,-18,-1,0,0,1,0,0,0,0,1,0
1,1,0,0,5,19,32,5,50,1,1,0,0,1,1,0,0,0,0,0
-1,0,1,0,-3,-60,-1,-2,-5,0,-2,0,0,1,0,0,0,0,0,0
1,0,1,0,2,5,4,1,-14,-2,1,0,0,1,0,0,0,0,0,0
-1,0,-1,0,-1,-2,0,-3,-36,4,-1,0,0,1,0,0,0,0,0,0
1,0,1,0,4,60,16,5,-6,25,1,0,0,1,0,0,0,0,0,0
-1,1,-1,0,0,15,10,0,-15,-4,4,0,0,1,0,0,0,0,0,1
1,0,0,0,3,54,-18,11,38,-2,2,0,0,1,0,0,0,0,0,0
1,1,-1,0,1,9,9,0,3,0,3,0,0,1,0,0,0,0,0,1
1,0,0,0,1,21,-10,-1,-13,-43,15,0,0,1,0,0,0,0,0,0
-1,-1,-1,0,-4,-31,-23,-3,-7,-81,1,0,0,1,0,0,0,0,0,0
-1,1,1,0,2,-1,-5,1,0,2,-3,0,0,1,0,0,0,0,1,0
1,0,0,0,1,-15,-12,0,10,2,-1,0,0,1,0,0,0,0,0,0
-1,0,-1,0,2,-14,-17,0,10,10,1,0,0,1,0,0,0,0,0,0
-1,1,0,0,1,-19,-8,5,21,6,0,0,0,1,0,0,0,0,1,0
-1,0,0,0,3,50,9,5,-13,-105,-4,0,0,1,0,0,0,0,0,0
1,-1,1,0,2,-36,0,4,2,-10,-1,0,0,1,0,0,0,0,0,0
-1,1,-1,0,0,76,-36,2,31,-10,3,0,0,1,0,0,0,0,1,0
-1,0,-1,0,-3,-50,-12,-3,-5,-15,2,0,0,1,0,0,0,0,0,0
-1,1,0,0,-1,-53,5,-4,-35,3,-3,0,0,1,0,0,0,1,0,0
1,1,0,0,0,7,5,-1,-6,47,-4,0,0,1,0,0,0,0,0,1
1,-1,0,0,1,1,-20,2,22,2,0,0,0,1,0,0,0,0,0,0
1,1,0,0,2,-40,20,2,2,0,0,0,0,1,0,0,0,0,1,0
1,0,0,0,0,6,-2,6,37,-11,2,0,0,1,0,0,0,0,0,0
1,-1,0,0,-1,4,-15,4,-15,10,0,0,0,1,0,0,0,0,0,0
1,0,0,0,1,1,16,1,-9,0,-2,0,0,1,0,0,0,0,0,0
1,1,1,0,4,45,-4,5,13,0,1,0,0,1,0,1,0,0,0,0
-1,0,-1,0,1,-7,-19,-3,-20,4,2,0,0,1,0,0,0,0,0,0
1,1,-1,0,0,-31,-8,8,34,2,-5,0,0,1,0,0,0,0,0,1
1,0,0,0,-2,13,-11,-3,-33,-198,-1,0,0,1,0,0,0,0,0,0
-1,0,0,0,3,34,12,2,18,25,0,0,0,1,0,0,0,0,0,0
1,-1,0,0,0,23,8,2,7,1,-6,0,0,1,0,0,0,0,0,0
1,1,-1,0,1,29,18,2,5,-2,2,0,0,1,0,0,1,0,0,0
1,1,0,0,1,34,1,3,18,-30,-1,0,0,1,0,0,1,0,0,0
-1,1,-1,0,1,-13,-11,2,7,-9,3,0,0,1,0,0,0,1,0,0
1,0,0,0,4,48,0,7,15,-22,-2,0,0,1,0,0,0,0,0,0
-1,0,0,0,1,2,17,0,-13,0,2,0,0,1,0,0,0,0,0,0
-1,0,-1,0,-2,-6,-2,0,32,21,-17,0,0,1,0,0,0,0,0,0
-1,-1,0,0,0,-29,8,-3,-21,3,-2,0,0,1,0,0,0,0,0,0
1,-1,-1,0,0,4,4,-1,-5,-15,-1,0,0,1,0,0,0,0,0,0
1,-1,1,0,1,2,-4,1,-2,79,-1,0,0,1,0,0,0,0,0,0
-1,0,1,0,4,31,37,2,-8,-6,-3,0,0,1,0,0,0,0,0,0
1,0,1,0,2,26,11,4,46,1,3,0,0,1,0,0,0,0,0,0
1,1,0,0,1,-34,16,-2,7,-3,-1,0,0,1,0,0,1,0,0,0
1,-1,0,0,0,-10,-4,6,21,6,0,0,0,1,0,0,0,0,0,0
-1,0,1,0,2,15,31,1,-4,2,-1,0,0,1,0,0,0,0,0,0
-1,1,-1,0,2,57,1,3,22,7,1,0,0,1,1,0,0,0,0,0
1,1,0,0,-1,37,-12,2,-14,-2,0,0,0,1,0,0,0,0,0,1
1,-1,0,0,-2,9,5,0,19,1,1,0,0,1,0,0,0,0,0,0
-1,-1,0,0,0,35,11,-6,-40,20,1,0,0,1,0,0,0,0,0,0
-1,-1,1,0,1,8,-12,-2,-15,-2,0,0,0,1,0,0,0,0,0,0
1,1,1,0,2,10,18,1,-2,-4,-4,0,0,1,0,0,0,0,0,1
1,-1,0,0,-2,-46,0,-1,12,-3,1,0,0,1,0,0,0,0,0,0
1,1,0,0,1,23,-5,6,16,-4,0,0,0,1,0,0,0,0,0,1
-1,-1,-1,0,0,-26,0,-2,-16,-5,3,0,0,1,0,0,0,0,0,0
-1,-1,1,1,2,50,15,3,6,6,3,0,1,1,0,0,0,0,0,0
1,0,0,0,3,3,-4,6,-4,-15,0,0,0,1,0,0,0,0,0,0
1,-1,0,0,3,14,16,6,20,-6,2,0,0,1,0,0,0,0,0,0
