matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6760161102,420,-3,-20,8,-4,-4,4,0,3,1,4,-5,5,0,2,2,4,0,1,1,0,-1,1,3,-4,1,-2,0,-1,-1,1,-1,1,4,-1
KR_6751738917,420,0,-14,12,3,4,0,4,3,0,3,4,0,4,-4,5,1,-4,5,1,0,4,-1,2,-3,1,-2,0,-2,-1,1,-1,-1,3,-1
KR_6748559243,440,-1,-5,-15,-4,-2,5,3,1,1,2,0,1,1,-3,4,1,0,0,0,0,-7,215,1,-3,2,-2,0,1,-1,1,1,1,2,-1
KR_6760831642,420,0,-46,-16,-10,1,1,2,-4,4,0,-8,8,0,1,1,2,0,0,0,0,-13,44,-3,-2,5,-21,0,0,-1,0,0,-1,2,-1
KR_6752103365,420,-1,-107,-9,-7,-1,2,1,2,1,3,-2,5,3,-5,5,0,-1,1,0,0,-12,2,-4,0,4,2,0,0,-1,0,0,-1,5,-1
KR_6728288212,420,-3,-28,-42,-2,1,0,1,-6,6,0,-2,3,1,0,1,1,5,0,5,0,-1,4,-4,0,4,-2,0,0,-1,-1,-1,1,5,-1
KR_6759772918,420,-4,-29,8,-10,1,0,1,-4,4,0,-7,7,0,0,2,2,0,0,0,-1,-6,-8,-2,-2,4,3,0,0,-1,1,1,-1,4,-1
KR_6724672932,420,4,21,37,4,6,0,6,1,0,1,-1,2,1,-1,3,2,-1,1,0,0,-1,-205,-3,-1,4,-2,0,1,1,1,1,1,1,-1
KR_6654950756,420,-1,32,5,3,-1,2,1,1,1,2,0,2,2,3,1,4,0,1,1,0,7,34,0,-3,3,-5,0,0,1,-1,-1,1,2,-1
KR_6751337548,420,2,8,-12,5,3,4,7,-4,4,0,-1,3,2,5,1,6,2,3,5,0,12,-244,-1,-1,2,0,0,2,-1,1,1,1,4,-1
KR_6712705799,420,-1,38,14,1,-1,2,1,-1,4,3,-2,3,1,-1,6,5,6,1,7,1,4,-7,1,-6,5,4,0,-2,1,1,-1,-1,6,-1
KR_6731300981,420,-2,4,4,0,0,2,2,2,2,4,-3,3,0,0,0,0,1,1,2,0,-3,6,0,-2,2,-3,0,0,1,-1,0,-1,3,-1
KR_6722844118,420,-7,-206,-28,-10,-5,6,1,2,1,3,-7,7,0,-2,2,0,2,1,3,2,2,-8,-1,-1,2,-1,0,-1,0,0,-1,1,0,-1
KR_6720612916,420,1,-36,13,3,1,1,2,6,0,6,1,0,1,-1,1,0,-4,4,0,0,4,-9,3,-7,4,0,0,2,-1,1,1,1,3,-1
KR_6749369774,420,-3,-59,-25,-7,0,2,2,-10,11,1,5,3,8,-2,3,1,0,0,0,0,1,6,2,-3,1,0,0,-2,-1,-1,-1,-1,3,-1
KR_6641714858,420,0,-27,22,4,0,2,2,2,1,3,3,5,8,0,0,0,-1,4,3,0,14,11,-3,-1,4,1,0,-1,1,-1,-1,-1,1,-1
KR_6739216325,440,1,-91,0,9,-2,2,0,6,0,6,3,2,5,2,1,3,0,1,1,0,10,-3,-2,-1,3,2,0,1,1,0,1,1,6,-1
KR_6660827165,420,-4,-74,-16,-1,1,1,2,1,2,3,-3,5,2,1,0,1,-1,3,2,0,5,10,0,-3,3,1,0,0,-1,1,-1,1,1,-1
KR_6651004465,420,-1,-31,-12,1,1,0,1,0,1,1,2,0,2,-1,2,1,-1,1,0,0,-1,-48,-2,-1,3,27,0,-1,0,-1,-1,-1,0,-1
KR_6700046647,420,1,23,8,-3,-6,6,0,1,2,3,-2,4,2,4,1,5,0,1,1,0,5,-1,0,-2,2,-4,0,-2,0,-1,-1,1,0,-1
KR_6728329568,420,0,-109,28,0,-3,3,0,0,4,4,3,1,4,1,2,3,-1,2,1,0,5,-111,0,-4,4,-2,0,0,-1,1,-1,-1,2,-1
KR_6762152579,420,-4,-57,-5,-6,1,3,4,0,4,4,0,0,0,-2,4,2,-5,5,0,0,-11,-6,1,-2,1,0,0,-1,0,-1,-1,-1,0,-1
KR_6746888134,420,-4,-32,-36,-9,-2,5,3,-3,5,2,0,1,1,-3,4,1,-1,1,0,-1,-11,-7,-2,-1,3,2,0,-2,-1,-1,-1,-1,5,-1
KR_6643662380,420,-6,-95,-20,-10,-6,7,1,-1,3,2,1,4,5,-2,2,0,-2,2,0,0,-8,-2,-1,-1,2,1,0,-2,-1,1,-1,-1,2,-1
KR_6763194801,420,-4,-2,-24,-13,-6,8,2,-2,2,0,3,0,3,-1,3,2,-7,7,0,0,-5,43,-6,-2,8,-11,0,-1,-1,1,-1,-1,4,-1
KR_6755954743,420,-2,-57,-32,-5,2,2,4,1,2,3,-7,7,0,0,1,1,-1,1,0,0,-3,-22,0,-4,4,0,0,0,-1,-1,-1,1,6,-1
KR_6729345717,420,-5,-92,-21,-1,-4,5,1,3,0,3,1,4,5,0,3,3,-1,1,0,0,4,260,-2,-2,4,-2,0,-1,-1,0,-1,-1,6,-1
KR_6762249421,420,2,-48,-8,10,-3,5,2,4,1,5,4,0,4,2,0,2,3,0,3,1,15,-167,0,-3,3,14,0,0,1,-1,0,1,3,-1
KR_6661583229,420,2,72,28,-1,1,2,3,-1,6,5,-2,2,0,2,2,4,-1,2,1,0,2,-358,-1,-1,2,3,0,0,1,-1,-1,-1,6,-1
KR_6762890048,420,-4,-87,-44,-13,1,1,2,-6,6,0,0,2,2,-3,4,1,-5,5,0,0,-11,4,-1,-1,2,-2,0,-3,0,1,-1,-1,0,-1
KR_6724617005,420,-2,-78,8,-6,-6,6,0,-1,1,0,3,2,5,-3,4,1,1,2,3,0,0,44,1,-3,2,-17,0,-1,1,1,1,-1,6,-1
KR_6738393496,440,-1,-75,-10,3,-1,3,2,3,5,8,1,2,3,-2,3,1,2,0,2,0,0,101,-2,-1,3,-2,0,-1,1,1,-1,-1,2,-1
KR_6733758977,420,-2,-48,-40,2,2,0,2,-1,3,2,6,0,6,-5,7,2,0,1,1,0,4,-139,4,-5,1,-1,0,-1,1,-1,-1,-1,6,-1
KR_6755613480,420,0,-52,16,-2,4,0,4,0,2,2,2,4,6,-9,9,0,1,1,2,0,-9,-47,0,-3,3,21,0,0,0,-1,-1,-1,0,-1
KR_6740847465,420,-6,-136,-8,-24,-13,14,1,-3,5,2,0,2,2,-10,12,2,2,1,3,0,-10,-9,-3,-1,4,1,0,-4,-1,-1,-1,-1,4,-1
KR_6757726931,420,-1,68,-39,0,-1,1,0,4,5,9,0,3,3,-3,6,3,0,1,1,0,-8,-285,-1,0,1,1,0,0,-1,-1,1,-1,6,-1
