matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6765434593,420,0,-18,-28,2,4,1,5,0,4,4,-5,5,0,4,0,4,-1,2,1,2,1,215,-1,-6,7,-1,0,0,-1,1,0,1,2,-1
KR_6738129155,420,-3,-32,3,-4,-1,1,0,-3,4,1,-3,6,3,2,2,4,1,1,2,0,-2,-5,0,-5,5,1,0,-2,1,-1,-1,1,1,-1
KR_6763196345,420,-2,4,-29,-2,3,3,6,-4,4,0,0,1,1,-1,2,1,0,0,0,0,-5,9,-1,-6,7,-3,0,0,1,1,0,1,5,-1
KR_6758274244,420,-1,-21,-7,-3,-3,3,0,-2,3,1,-1,1,0,0,3,3,3,0,3,0,4,-35,1,-7,6,-1,0,-1,1,-1,-1,-1,4,-1
KR_6763345588,420,-3,5,-19,-10,4,0,4,-4,4,0,-1,1,0,-3,3,0,-6,6,0,0,-15,4,3,-5,2,2,0,-2,-1,-1,-1,-1,2,-1
KR_6755384470,420,0,-40,-3,4,1,4,5,0,1,1,2,2,4,1,3,4,0,1,1,0,11,17,-1,-6,7,4,0,-1,-1,1,1,1,1,-1
KR_6767646220,420,-2,-26,-43,-2,-1,3,2,0,4,4,2,2,4,-1,3,2,-2,2,0,-2,7,-16,9,-11,2,-3,0,-3,-1,-1,-1,-1,5,-1
KR_6777277471,420,-2,-18,-13,-9,2,1,3,-3,4,1,-5,5,0,-4,5,1,1,0,1,0,-4,-3,0,-5,5,-2,0,-3,-1,-1,-1,-1,4,-1
KR_6740579319,420,3,-10,20,6,0,0,0,2,2,4,4,5,9,3,2,5,-3,4,1,0,4,-3,-8,-3,11,0,0,2,-1,1,1,1,2,-1
KR_6770424960,420,-2,-43,-20,-3,0,3,3,-2,5,3,-3,3,0,2,3,5,0,0,0,0,-5,16,3,-7,4,-4,0,0,-1,1,0,1,1,-1
KR_6774854312,420,-3,-42,9,-6,-3,4,1,-2,5,3,0,2,2,0,2,2,-1,2,1,0,-4,-9,-1,-6,7,-2,0,-3,-1,1,-1,-1,3,-1
KR_6691148200,420,0,-27,-16,-8,1,0,1,-4,5,1,-4,5,1,-2,5,3,1,1,2,-1,-5,0,-4,-4,8,1,0,-2,1,-1,-1,-1,5,-1
KR_6773469913,420,2,-76,1,0,-1,3,2,2,1,3,-3,3,0,2,1,3,0,0,0,0,10,43,0,-5,5,-2,0,-2,1,-1,-1,-1,5,-1
KR_6775731564,420,0,21,-16,-2,-1,3,2,0,3,3,0,1,1,0,2,2,-1,4,3,0,0,-11,-3,-5,8,-3,0,1,-1,1,1,-1,3,-1
KR_6739572044,420,-5,-68,-40,-8,-2,4,2,-2,6,4,-3,5,2,0,6,6,-1,3,2,0,-7,25,-1,-4,5,-3,0,0,1,-1,-1,-1,5,-1
KR_6776039330,420,-3,-58,-9,-10,-2,4,2,-3,5,2,-3,5,2,-2,3,1,0,1,1,0,-9,16,-2,-5,7,-6,0,-2,-1,-1,-1,-1,1,-1
KR_6762968849,420,-1,-90,35,-2,1,1,2,1,2,3,-3,3,0,2,0,2,-3,5,2,0,-4,-24,6,-7,1,5,0,-1,-1,1,-1,1,5,-1
KR_6753273619,420,-3,14,-37,-6,-2,3,1,0,2,2,-2,7,5,-1,2,1,-1,2,1,0,-6,-4,5,-8,3,-3,0,-1,-1,1,-1,-1,2,-1
