matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6619305671,420,1,18,-24,6,-1,3,2,0,1,1,0,4,4,7,1,8,0,1,1,1,13,3,-1,-1,2,-1,0,0,-1,-1,-1,1,3,-1
KR_6730411074,420,-4,14,-19,0,2,2,4,0,3,3,-5,6,1,2,1,3,1,0,1,0,-2,3,1,-4,3,4,0,-1,1,-1,-1,1,6,-1
KR_6738112066,420,-1,-4,-16,1,-4,6,2,3,0,3,4,1,5,0,1,1,-2,3,1,0,2,6,2,-3,1,-5,0,-1,-1,1,-1,1,6,-1
KR_6760319830,420,-1,2,8,6,0,2,2,2,1,3,0,3,3,1,3,4,3,2,5,0,6,-19,-2,-1,3,2,0,1,1,-1,1,1,3,-1
KR_6739504069,420,-1,-31,8,-1,1,1,2,1,1,2,-3,8,5,0,2,2,0,0,0,0,-11,-9,-1,-1,2,2,0,-1,-1,0,-1,1,3,-1
KR_6741760855,420,-2,-21,3,-6,-3,3,0,-2,3,1,-5,6,1,1,1,2,3,0,3,0,2,2,-4,-2,6,1,0,-2,-1,-1,-1,-1,4,-1
KR_6746439844,420,-5,-47,-12,-12,-3,4,1,-4,4,0,1,4,5,-3,5,2,-3,3,0,1,-10,3,-2,-1,3,2,0,-2,-1,0,-1,1,6,-1
KR_6681482423,420,-4,-31,-4,-6,-1,3,2,1,2,3,-3,6,3,-1,2,1,-2,2,0,0,-5,5,3,-3,0,0,0,-2,1,-1,-1,-1,3,-1
KR_6745114804,440,-2,-7,17,-2,-6,6,0,5,1,6,0,5,5,-1,2,1,0,3,3,1,10,1,-1,-1,2,-5,0,-1,1,0,-1,1,1,-1
KR_6659786396,420,-3,-66,-23,-8,-1,2,1,-1,3,2,5,0,5,-10,10,0,-1,1,0,-1,-8,0,-3,-3,6,2,0,-1,1,1,-1,-1,2,-1
